Territory,County,Subcounty,Brand,QTY_KG_RTM,QTY_KG_RTM_NORM_BRANDWISE,QTY_SHARE_REGION_BRAND,White Space Score,WEIGHT,AWS
CENTRAL,KIAMBU,GITHUNGURI,NDUME,3850,0.158930534,0.020162902,10.97780161,0.158930534,1.744707869
CENTRAL,KIAMBU,JUJA,NDUME,16178,0.667838487,0.084726084,10.97780161,0.667838487,7.331398417
CENTRAL,KIAMBU,KABETE,NDUME,20158.8,0.832168531,0.105574,10.97780161,0.832168531,9.135381037
CENTRAL,KIAMBU,KIAMBAA,NDUME,0,0,0,10.97780161,0,0
CENTRAL,KIAMBU,KIAMBU,NDUME,6010,0.248096755,0.031475075,10.97780161,0.248096755,2.723556959
CENTRAL,KIAMBU,KIKUYU,NDUME,10,0.000412807,5.24E-05,10.97780161,0.000412807,0.004531709
CENTRAL,KIAMBU,LARI,NDUME,90,0.003715259,0.000471341,10.97780161,0.003715259,0.040785379
CENTRAL,KIAMBU,LIMURU,NDUME,360,0.014861037,0.001885362,10.97780161,0.014861037,0.163141515
CENTRAL,KIAMBU,ROYSAMBU,NDUME,0,0,0,10.97780161,0,0
CENTRAL,KIAMBU,RUIRU,NDUME,2699.2,0.111424752,0.014136027,10.97780161,0.111424752,1.223198826
CENTRAL,KIAMBU,THIKA TOWN,NDUME,3680,0.151912822,0.019272592,10.97780161,0.151912822,1.66766882
CENTRAL,KIAMBU,WESTLANDS,NDUME,0,0,0,10.97780161,0,0
CENTRAL,KIRINYAGA,GACHOKA,NDUME,13160,0.543253461,0.068920464,10.97780161,0.543253461,5.963728716
CENTRAL,KIRINYAGA,GICHUGU,NDUME,4792,0.197816914,0.025096266,10.97780161,0.197816914,2.171594833
CENTRAL,KIRINYAGA,KIRINYAGA CENTRAL,NDUME,390,0.016099457,0.002042476,10.97780161,0.016099457,0.176736641
CENTRAL,KIRINYAGA,MWEA,NDUME,24224.42,1,0.126866129,10.97780161,1,10.97780161
CENTRAL,KIRINYAGA,NDIA,NDUME,12960,0.534997329,0.06787304,10.97780161,0.534997329,5.873094541
CENTRAL,MURANG'A,GATANGA,NDUME,1395,0.057586518,0.007305779,10.97780161,0.057586518,0.632173371
CENTRAL,MURANG'A,KANDARA,NDUME,19481,0.804188501,0.102024282,10.97780161,0.804188501,8.828221818
CENTRAL,MURANG'A,KANGEMA,NDUME,110,0.004540872,0.000576083,10.97780161,0.004540872,0.049848796
CENTRAL,MURANG'A,KIGUMO,NDUME,3450,0.14241827,0.018068055,10.97780161,0.14241827,1.563439519
CENTRAL,MURANG'A,KIHARU,NDUME,5735.12,0.236749528,0.030035496,10.97780161,0.236749528,2.598989349
